phase,reuse,replicate,variant,curve_index,x,seed,samples,estimate,exact,error,empirical_stderr
1,10,0,grid_short_uniform,4,-2.0,13040361116294021162,10000,-0.8889526615416126,-0.8884494598171035,-0.000503201724509017,0.0008590368130361096
1,10,0,grid_short_uniform,4,-1.0,13040361116294021163,10000,-0.7449256578251164,-0.7455466141264027,0.000620956301286224,0.0006141740965356133
1,10,0,grid_short_uniform,4,0.0,13040361116294021164,10000,-0.5181679909147252,-0.5187412158785353,0.0005732249638100706,0.0007067627962781071
1,10,0,grid_short_uniform,4,1.0,13040361116294021165,10000,-0.28391029451846334,-0.28394020618429017,2.991166582683169e-05,0.0006201474533708302
1,10,0,grid_short_uniform,4,2.0,13040361116294021166,10000,-0.12763723323885184,-0.1273050380753717,-0.00033219516348015343,0.0003291568158468996
1,10,0,grid_short_uniform,5,-2.0,9022270770629536374,10000,-0.8881487516288756,-0.8884494598171035,0.0003007081882279161,0.0008790726058276709
1,10,0,grid_short_uniform,5,-1.0,9022270770629536375,10000,-0.745003603012573,-0.7455466141264027,0.0005430111138297056,0.000570283044787319
1,10,0,grid_short_uniform,5,0.0,9022270770629536376,10000,-0.5182466785305889,-0.5187412158785353,0.0004945373479463555,0.0007094539855590558
1,10,0,grid_short_uniform,5,1.0,9022270770629536377,10000,-0.28412782940288495,-0.28394020618429017,-0.00018762321859477904,0.0005970701448938321
1,10,0,grid_short_uniform,5,2.0,9022270770629536378,10000,-0.12681244025761093,-0.1273050380753717,0.0004925978177607593,0.000318176981778222
1,10,0,grid_short_uniform,6,-2.0,2998593035620420125,10000,-0.8902665779259449,-0.8884494598171035,-0.0018171181088413313,0.0007200537574993961
1,10,0,grid_short_uniform,6,-1.0,2998593035620420126,10000,-0.7451963692065041,-0.7455466141264027,0.0003502449198985458,0.0006530754329509862
1,10,0,grid_short_uniform,6,0.0,2998593035620420127,10000,-0.5176432753504816,-0.5187412158785353,0.0010979405280536758,0.0007061644303639246
1,10,0,grid_short_uniform,6,1.0,2998593035620420128,10000,-0.283200116089051,-0.28394020618429017,0.0007400900952391765,0.000633772298632595
1,10,0,grid_short_uniform,6,2.0,2998593035620420129,10000,-0.12696956234581278,-0.1273050380753717,0.000335475729558915,0.00036030667821146265
1,10,0,grid_short_uniform,7,-2.0,8678521511812386508,10000,-0.8880622583988996,-0.8884494598171035,0.0003872014182039196,0.0009085231998002481
1,10,0,grid_short_uniform,7,-1.0,8678521511812386509,10000,-0.7454093212317504,-0.7455466141264027,0.00013729289465225225,0.0006009760268377311
1,10,0,grid_short_uniform,7,0.0,8678521511812386510,10000,-0.5194578195234383,-0.5187412158785353,-0.0007166036449030022,0.0007225741337762727
1,10,0,grid_short_uniform,7,1.0,8678521511812386511,10000,-0.28340400312154806,-0.28394020618429017,0.0005362030627421022,0.0006310496928973411
1,10,0,grid_short_uniform,7,2.0,8678521511812386512,10000,-0.12693894542805084,-0.1273050380753717,0.0003660926473208481,0.00034120686221668654
1,10,0,grid_short_uniform,8,-2.0,14166023804448920101,10000,-0.8874689479982848,-0.8884494598171035,0.0009805118188187523,0.0009918349265525858
1,10,0,grid_short_uniform,8,-1.0,14166023804448920102,10000,-0.7458750598589253,-0.7455466141264027,-0.0003284457325226642,0.0004565444018870693
